,k0,k1,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59,mu_60,mu_61,mu_62,mu_63,mu_64,mu_65,mu_66,mu_67,mu_68,mu_69,mu_70,mu_71,mu_72,mu_73,mu_74,mu_75,mu_76,mu_77,mu_78,mu_79,mu_80,mu_81,mu_82,mu_83,mu_84,mu_85,mu_86,mu_87,mu_88,mu_89,mu_90,mu_91,mu_92,mu_93,mu_94,mu_95,mu_96,mu_97,mu_98,mu_99,mu_100,mu_101,mu_102,mu_103,mu_104,mu_105,mu_106,mu_107,mu_108,mu_109,mu_110,mu_111,mu_112,mu_113,mu_114,mu_115,mu_116,mu_117,mu_118,mu_119,mu_120,mu_121,mu_122,mu_123,mu_124,mu_125,mu_126,mu_127,mu_128,mu_129,mu_130,mu_131,mu_132,mu_133,mu_134,mu_135,mu_136,mu_137,mu_138,mu_139,mu_140,mu_141,mu_142,mu_143,mu_144,mu_145,mu_146,mu_147,mu_148,mu_149,mu_150,mu_151,mu_152,mu_153
35,[1],"[0.2857142857142857, 0.921440316225281, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.6819607200270752, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.5643340857787813, 'optimal', 'optimal']","[0.0, 0.563106796116505, 'optimal', 'optimal']","[0.0, 0.8446276579969751, 'optimal', 'optimal']","[0.0, 0.6607142857142861, 'optimal', 'optimal']","[0.0, 0.7070376432078559, 'optimal', 'optimal']","[0.0, 0.30952380952380965, 'optimal', 'optimal']","[0.0, 0.30952380952380976, 'optimal', 'optimal']","[0.0, 0.30952380952380965, 'optimal', 'optimal']","[0.0, 0.30952380952380976, 'optimal', 'optimal']","[0.0, 0.30952380952380976, 'optimal', 'optimal']","[0.0, 0.30952380952380965, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,[1],"[1.153846153846154, 3.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,[1],"[1.6956521739130435, 3.952380952380952, 'optimal', 'optimal']","[0.0, 0.7972408026755853, 'optimal', 'optimal']","[0.0, 0.8563218390804598, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,[1],"[1.6888888888888887, 4.29614181438999, 'optimal', 'optimal']","[0.0, 0.9233918128654972, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,[1],"[0.29310344827586216, 1.1176470588235292, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.8680740037950664, 'optimal', 'optimal']","[0.0, 0.7208114495798319, 'optimal', 'optimal']","[0.0, 0.7208114495798319, 'optimal', 'optimal']","[0.0, 0.720811449579832, 'optimal', 'optimal']","[0.0, 0.7208114495798319, 'optimal', 'optimal']","[0.0, 0.7208114495798319, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,[1],"[0.5499999999999999, 1.5135135135135134, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.6958958958958956, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,[1],"[1.191162343900097, 1.2268661505755882, 'optimal', 'optimal']","[0.0052987997555083285, 0.10572766570605004, 'optimal', 'optimal']","[0.0, 0.06986355892211568, 'optimal', 'optimal']","[0.0, 0.02113975358554839, 'optimal', 'optimal']","[0.0, 0.027959028935724963, 'optimal', 'optimal']","[0.0, 0.936476303169957, 'optimal', 'optimal']","[0.0, 0.936476303169957, 'optimal', 'optimal']","[0.0, 0.936476303169957, 'optimal', 'optimal']","[0.0, 0.936476303169957, 'optimal', 'optimal']","[0.0, 0.936476303169957, 'optimal', 'optimal']","[0.0, 0.936476303169957, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,[1],"[2.418604651162791, 5.909090909090909, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.9354838709677418, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,[1],"[0.6296296296296297, 1.8387096774193552, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.8474576271186443, 'optimal', 'optimal']","[0.0, 0.8720930232558141, 'optimal', 'optimal']","[0.0, 0.8875739644970415, 'optimal', 'optimal']","[0.0, 0.9035359801488834, 'optimal', 'optimal']","[0.0, 0.9035359801488834, 'optimal', 'optimal']","[0.0, 0.9035359801488834, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,[1],"[0.7432432432432432, 1.3272727272727272, 'optimal', 'optimal']","[0.4079701120797011, 1.0, 'optimal', 'optimal']","[0.0, 0.592029887920299, 'optimal', 'optimal']","[0.0, 0.3581937363437728, 'optimal', 'optimal']","[0.0, 0.3581937363437728, 'optimal', 'optimal']","[0.0, 0.3581937363437728, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,[1],"[0.5526315789473685, 2.105263157894737, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,[1],"[0.9207236842105264, 1.8632352941176469, 'optimal', 'optimal']","[0.32101459368277696, 1.0, 'optimal', 'optimal']","[0.0, 0.678985406317223, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,[1],"[1.4314652261985155, 2.7226851851851843, 'optimal', 'optimal']","[0.0, 0.607303858128891, 'optimal', 'optimal']","[0.0, 0.8086766011294307, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.7649014021563042, 'optimal', 'optimal']","[0.0, 0.764901402156304, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,[1],"[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,[1],"[0.42500000000000004, 1.4545454545454541, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.506648717149741, 'optimal', 'optimal']","[0.0, 0.382945351376508, 'optimal', 'optimal']","[0.0, 0.44228460451977347, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.6787878787878793, 'optimal', 'optimal']","[0.0, 0.6787878787878793, 'optimal', 'optimal']","[0.0, 0.6787878787878793, 'optimal', 'optimal']","[0.0, 0.6787878787878793, 'optimal', 'optimal']","[0.0, 0.6787878787878793, 'optimal', 'optimal']","[0.0, 0.6787878787878793, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,[1],"[0.8088235294117648, 1.2727272727272727, 'optimal', 'optimal']","[0.5493506493506495, 1.0, 'optimal', 'optimal']","[0.0, 0.4506493506493505, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,[1],"[2.9393939393939394, 5.199999999999999, 'optimal', 'optimal']","[0.0, 0.4554707379134861, 'optimal', 'optimal']","[0.0, 0.6804123711340205, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,[1],"[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,[1],"[1.25, 2.852941176470588, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,[1],"[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,[1],"[2.9978586723768754, 7.647058823529412, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,[1],"[1.3, 3.083662714097496, 'optimal', 'optimal']","[0.0, 0.8450209741953838, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,[1],"[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,[1],"[0.9629629629629629, 2.533333333333333, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.9949109414758266, 'optimal', 'optimal']","[0.0, 0.9949109414758268, 'optimal', 'optimal']","[0.0, 0.9949109414758268, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,[1],"[0.45833333333333337, 1.3182926829268282, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.9490049617417696, 'optimal', 'optimal']","[0.0, 0.8723929746630597, 'optimal', 'optimal']","[0.0, 0.8181251346921462, 'optimal', 'optimal']","[0.0, 0.7897336694748667, 'optimal', 'optimal']","[0.0, 0.7684244352004809, 'optimal', 'optimal']","[0.0, 0.753140336398369, 'optimal', 'optimal']","[0.0, 0.7452647163390222, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,[1],"[0.8333333333333334, 1.5818181818181818, 'optimal', 'optimal']","[0.43218390804597706, 1.0, 'optimal', 'optimal']","[0.0, 0.5678160919540229, 'optimal', 'optimal']","[0.0, 0.5678160919540229, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,[1],"[2.580645161290323, 5.228571428571429, 'optimal', 'optimal']","[0.0, 0.6462715105162523, 'optimal', 'optimal']","[0.0, 0.7723118279569892, 'optimal', 'optimal']","[0.0, 0.8058906030855544, 'optimal', 'optimal']","[0.0, 0.8743152769324405, 'optimal', 'optimal']","[0.0, 0.9859299931365818, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,[1],"[2.6564285714285716, 3.352941176470588, 'optimal', 'optimal']","[0.0, 0.16819407008086223, 'optimal', 'optimal']","[0.0, 0.19894748972458015, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,[1],"[0.2142857142857143, 1.1752083333333336, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.9257299696332633, 'optimal', 'optimal']","[0.0, 0.9257299696332635, 'optimal', 'optimal']","[0.0, 0.9257299696332633, 'optimal', 'optimal']","[0.0, 0.9257299696332633, 'optimal', 'optimal']","[0.0, 0.9257299696332633, 'optimal', 'optimal']","[0.0, 0.9257299696332633, 'optimal', 'optimal']","[0.0, 0.9257299696332633, 'optimal', 'optimal']","[0.0, 0.9257299696332635, 'optimal', 'optimal']","[0.0, 0.9257299696332633, 'optimal', 'optimal']","[0.0, 0.9257299696332633, 'optimal', 'optimal']","[0.0, 0.9257299696332633, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,[1],"[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,[1],"[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,[1],"[3.1621621621621623, 7.475, 'optimal', 'optimal']","[0.0, 0.9968203497615261, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,[1],"[2.2444444444444445, 5.250000000000001, 'optimal', 'optimal']","[0.0, 0.9424936386768449, 'optimal', 'optimal']","[0.0, 0.6346666666666667, 'optimal', 'optimal']","[0.0, 0.5652565256525655, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,[1],"[2.6388888888888893, 4.972222222222222, 'optimal', 'optimal']","[0.0, 0.647194788821181, 'optimal', 'optimal']","[0.0, 0.42720210572902684, 'optimal', 'optimal']","[0.0, 0.5080332409972298, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,[1],"[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,[1],"[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']","[None, None, 'infeasible_or_unbounded', 'infeasible_or_unbounded']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,[1],"[1.7169811320754718, 3.7741935483870974, 'optimal', 'optimal']","[0.0, 1.0, 'optimal', 'optimal']","[0.0, 0.8207036535859272, 'optimal', 'optimal']","[0.0, 0.306500905088422, 'optimal', 'optimal']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
