,k0,k1,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59,mu_60,mu_61,mu_62,mu_63,mu_64,mu_65,mu_66,mu_67,mu_68,mu_69,mu_70,mu_71,mu_72,mu_73,mu_74,mu_75,mu_76,mu_77,mu_78,mu_79,mu_80,mu_81,mu_82,mu_83,mu_84,mu_85,mu_86,mu_87,mu_88,mu_89,mu_90,mu_91,mu_92,mu_93,mu_94,mu_95,mu_96,mu_97,mu_98,mu_99,mu_100,mu_101,mu_102,mu_103,mu_104,mu_105,mu_106,mu_107,mu_108,mu_109,mu_110,mu_111,mu_112,mu_113,mu_114,mu_115,mu_116,mu_117,mu_118,mu_119,mu_120,mu_121,mu_122,mu_123,mu_124,mu_125,mu_126,mu_127,mu_128,mu_129,mu_130,mu_131,mu_132,mu_133,mu_134,mu_135,mu_136,mu_137,mu_138,mu_139,mu_140
1491,[1],"[2.9534883770740943, 1.0]","[0.0, 0.7141321739589721]","[0.0, 0.9833322473799506]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,[1],"[0.79782141888458, 1.0]","[0.19796599574829382, 0.9879042881387764]","[0.0, 0.8020340401710816]","[0.0, 0.49192741542784696]","[0.0, 0.3926670811291524]","[0.0, 0.3470910354925026]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,[1],"[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,[1],"[0.3496159593539696, 1.0]","[0.0, 0.7819023093267896]","[0.0, 0.8141337415198824]","[0.0, 0.8507623004348063]","[0.0, 0.8649995072100541]","[0.0, 0.8837707672332565]","[0.0, 0.9063563488417138]","[0.0, 0.9138343611059262]","[0.0, 0.923955923127991]","[0.0, 0.9360746692738339]","[0.0, 0.9482443908560328]","[0.0, 0.9655518670066503]","[0.0, 0.9885927443889202]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9893715579763418]","[0.0, 0.9676876445916496]","[0.0, 0.9485918200590212]","[0.0, 0.931751257460833]","[0.0, 0.9168952159218732]","[0.0, 0.9038105513078664]","[0.0, 0.8923252201783496]","[0.0, 0.8822999752882861]","[0.0, 0.8736052564065198]","[0.0, 0.8661406593739934]","[0.0, 0.8598212402725953]","[0.0, 0.8545758515967121]","[0.0, 0.8503605966213538]","[0.0, 0.8471433039829938]","[0.0, 0.8449154392037125]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,[1],"[2.3333333382854793, 1.0]","[0.0, 0.6843674637383881]","[0.0, 0.6621189996215258]","[0.0, 0.7085987051472212]","[0.0, 0.5636409759065536]","[0.0, 0.6415844572389754]","[0.0, 0.7564404479373399]","[0.0, 0.9219511267267637]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,[1],"[1.4539772776786557, 1.0]","[0.0, 0.6245660783588346]","[0.0, 0.691878299440093]","[0.0, 0.8048505158180871]","[0.0, 0.9666482473860638]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,[1],"[4.000000004953431, 1.0]","[0.0, 0.26033111454426267]","[0.0, 0.31499241838734027]","[0.0, 0.41998991479797154]","[0.0, 0.8299199441671362]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,[1],"[inf, 1.0]","[0.0, 0.9779334732468337]","[0.0, 0.9612298776718867]","[0.0, 0.9116194004633833]","[0.0, 0.9447458811847762]","[0.0, -0.0]","[0.0, 0.6440740086293699]","[0.0, 0.9645108290900093]","[0.0, 0.9814465385216553]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9999999174655184]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9999999174720304]","[0.0, 0.9999999174652887]","[0.0, 0.9999999174505674]","[0.0, 0.9999999173907568]","[0.0, 0.98282328130376]","[0.0, 0.9379420871414873]","[0.0, 0.9003422182853722]","[0.0, 0.8684246936567965]","[0.0, 0.8410387433733758]","[0.0, 0.8173153040745855]","[0.0, 0.7965887163457563]","[0.0, 0.7783392263571307]","[0.0, 0.7621536970022248]","[0.0, 0.7476979836462817]","[0.0, 0.7346969132185242]","[0.0, 0.7230941943040915]","[0.0, 0.7130914150149164]","[0.0, 0.7045311812987259]","[0.0, 0.6972685545035116]","[0.0, 0.6911818757840199]","[0.0, 0.6861685433687471]","[0.0, 0.6821416967116541]","[0.0, 0.6790276010778831]","[0.0, 0.6767635886690947]","[0.0, 0.6752964679381008]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,[1],"[2.8912162211966455, 1.0]","[0.0, 0.21074006947296847]","[0.0, 0.687035864096352]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,[1],"[1.2500000049517739, 1.0]","[0.0, 0.3542385812772913]","[0.0, 0.4915882024828492]","[0.0, 0.6841203295203957]","[0.0, 0.9365042422188491]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,[1],"[0.8822561411501874, 1.0]","[0.0, 0.5828267013429748]","[0.0, 0.5716633310561168]","[0.0, 0.8560609869687563]","[0.0, 0.9058612397169122]","[0.0, 0.9343019482049744]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9079206321131398]","[0.0, 0.8599174705063239]","[0.0, 0.8196867575330651]","[0.0, 0.7823791357887652]","[0.0, 0.7549623792927793]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,[1],"[1.6603773634419692, 1.0]","[0.0, 0.8126090168388513]","[0.0, 0.8332186438894756]","[0.0, 0.9980603096048439]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,[1],"[1.171428576380798, 1.0]","[0.0, 0.9361209767379916]","[0.0, 1.0]","[0.0, 0.7744344970655623]","[0.0, 0.7113557988490398]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,[1],"[1.3200000030000716, 1.0]","[0.06211790286743158, 0.939720981923572]","[0.0, 0.8352271670647273]","[0.0, 0.732983501587711]","[0.0, 0.49705876163841506]","[0.0, 0.4955637931916571]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,[1],"[5.285714290668916, 1.0]","[0.0, 0.16170649475194598]","[0.0, 0.18170446405619545]","[0.0, 0.20286769196211696]","[0.0, 0.2160755987365933]","[0.0, 0.23326806496119873]","[0.0, 0.25442714880942413]","[0.0, 0.28476770069051605]","[0.0, 0.34537700680337485]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,[1],"[0.73333333828518, 1.0]","[0.0, 0.5619226415462787]","[0.0, 0.614262413083746]","[0.0, 0.5993582030143939]","[0.0, 0.6475554994794244]","[0.0, 0.6536333550822814]","[0.0, 0.7146214965596289]","[0.0, 0.8020911317292947]","[0.0, 0.9012734863307005]","[0.0, 0.9804587115372583]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,[1],"[1.5128205177726681, 1.0]","[0.0, 0.43152976966536344]","[0.0, 0.7248034940116639]","[0.0, 0.9016570965537822]","[0.0, 0.9510434970865183]","[0.0, 0.8752064587788594]","[0.0, 0.9720287695131805]","[0.0, 0.9483416656196142]","[0.0, 0.9197182853815701]","[0.0, 0.8976545985410805]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,[1],"[1.2927243544076492, 1.0]","[0.22337601205046234, 0.9005823522750812]","[0.0, 0.6455260818324646]","[0.0, 0.7663018194562343]","[0.0, 0.4993075017596668]","[0.0, 0.5043388648626072]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,[1],"[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,[1],"[0.6666666716182257, 1.0]","[0.0, 0.6891923272353018]","[0.0, 0.8778530356591522]","[0.0, 0.8924847762761098]","[0.0, 0.9087437866235816]","[0.0, 0.9709998881256934]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,[1],"[0.7833333382886744, 1.0]","[0.0, 0.905784652663295]","[0.0, 0.9623452335788449]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9701499929158104]","[0.0, 0.7831972351646063]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,[1],"[1.6250000049517372, 1.0]","[0.0, 0.5530143874463053]","[0.0, 0.6729182250766981]","[0.0, 0.8146858979565142]","[0.0, 1.0]","[0.0, 0.9639767958145701]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,[1],"[1.1698113257060707, 1.0]","[0.0, 0.6144573433205294]","[0.0, 0.8336394623256675]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.485134908739212]","[0.0, 0.515555743104799]","[0.0, 0.5155557106598397]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,[1],"[0.6048923150695775, 1.0]","[0.0, 0.4994882563574333]","[0.0, 0.4157038513722614]","[0.0, 0.44476920400345216]","[0.0, 0.5001846506216672]","[0.0, 0.7194011107792383]","[0.0, 0.8452486172972997]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,[1],"[2.9487179536705477, 1.0]","[0.0, 0.5469341988625277]","[0.0, 0.6224140919698348]","[0.0, 0.7878404513529798]","[0.0, 0.5810042900793679]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,[1],"[1.8666666716184808, 1.0]","[0.0, 0.6023811956728923]","[0.0, 0.8749038862492937]","[0.0, 0.8983188215581278]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,[1],"[0.43084591249896226, 1.0]","[0.0, 0.7359429900738839]","[0.0, 0.8405020037702002]","[0.0, 0.8774677502866938]","[0.0, 0.9459394560280117]","[0.0, 0.966292241718467]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9345781827949546]","[0.0, 0.883458290389627]","[0.0, 0.8437359741745591]","[0.0, 0.8123938457117037]","[0.0, 0.7875065263592771]","[0.0, 0.7678177986035821]","[0.0, 0.7525022542046518]","[0.0, 0.7408915900787673]","[0.0, 0.7324799343567497]","[0.0, 0.7269490848040185]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,[1],"[1.8909090959242265, 1.0]","[0.0, 0.7433958140293361]","[0.0, 0.9143107394254067]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,[1],"[0.9487179586235789, 1.0]","[0.763006851956646, 1.0]","[0.0, 0.23699527908166704]","[0.0, 0.16105042453609653]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,[1],"[1.9000000049514312, 1.0]","[0.0, 0.8469407225563532]","[0.0, 0.7548591339974073]","[0.0, 0.7929005480708207]","[0.0, 0.866459197618243]","[0.0, 0.833753596271173]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,[1],"[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,[1],"[3.205882357920079, 1.0]","[0.0, 0.311818976522662]","[0.0, 0.4577159276046142]","[0.0, 0.7330460211568673]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,[1],"[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,[1],"[0.980392161831551, 1.0]","[0.0, 0.7392934168832292]","[0.0, 0.7641067641271283]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,[1],"[2.361702132642506, 1.0]","[0.0, 0.4032106574659768]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,[1],"[0.7692307741965912, 1.0]","[0.0, 0.8553949489863495]","[0.0, 0.8655757853445929]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,[1],"[0.9673387146296467, 1.0]","[0.0, 0.833000423620714]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,[1],"[1.2495661278275338, 1.0]","[0.0, 0.9498731862075303]","[0.0, 0.9765573706050364]","[0.0, 0.7532770977490989]","[0.0, 0.6995721372254362]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,[1],"[0.622597139239819, 1.0]","[0.0, 0.9349947739337547]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9379416353042596]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,[1],"[0.601740178051549, 1.0]","[0.45951219512195135, 0.9018468464507187]","[0.0, 0.4346632913461629]","[0.0, 0.3528787255221693]","[0.0, 0.34134197714782455]","[0.0, 0.28824985473430453]","[0.0, 0.24382706992489664]","[0.0, 0.2438270722180308]","[0.0, 0.24308651345360835]","[0.0, 0.23332914034762134]","[0.0, 0.22740656304757412]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,[1],"[0.4903846625102116, 1.0]","[0.0, 0.6405546662094482]","[0.0, 0.6030636027647691]","[0.0, 0.657566758237762]","[0.0, 0.8313586426667094]","[0.0, 0.9217282752008393]","[0.0, 0.995986533799247]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,[1],"[1.2097962234583575, 1.0]","[0.0, 0.7802732034450526]","[0.0, 0.7484688499890715]","[0.0, 1.0]","[0.0, 0.9795719973361222]","[0.0, 0.9756904861674621]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,[1],"[3.997144901475864, 1.0]","[0.0, 0.7615672529982841]","[0.0, 0.8489604861693406]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,[1],"[2.1836734743679083, 1.0]","[0.0, 0.7355152962840786]","[0.0, 0.9853612259379897]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,[1],"[0.7946446182341697, 1.0]","[0.0, 0.7654561182342652]","[0.0, 0.7673127697348895]","[0.0, 0.9118851455880372]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,[1],"[2.407155030505696, 1.0]","[0.0, 0.6530262858301088]","[0.0, 0.5956050706902872]","[0.0, 0.766408471210982]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,[1],"[7.391304352796214, 1.0]","[0.0, 0.7907487314005677]","[0.0, 0.8332609270835731]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,[1],"[1.4278571478086386, 1.0]","[0.0, 0.4521035088659143]","[0.0, 0.454107691731129]","[0.0, 0.6001455303739575]","[0.0, 0.8657640091425894]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
