"","x"
"750","Ktn1"
"751","Lamb1"
"752","Lamb2"
"753","Lamc1"
"754","Lamp1"
"755","Lamtor2"
"756","Lamtor3"
"757","Lap3"
"758","Lars"
"759","Lasp1"
"760","Lats2"
"761","Lbh"
"762","Ldha"
"763","Ldlr"
"764","Lepre1"
"765","Leprel2"
"766","Leprel4"
"767","Leprot"
"768","Leprotl1"
"769","Lgals1"
"770","Lgals3"
"771","Lgals3bp"
"772","Lgals9"
"773","Lgmn"
"774","Lhfp"
"775","Lhfpl2"
"776","Lima1"
"777","Limd2"
"778","Lims1"
"779","Lipa"
"780","Litaf"
"781","Llph"
"782","Lman1"
"783","Lman2"
"784","Lmna"
"785","Lonp1"
"786","Lox"
"787","Loxl1"
"788","Loxl2"
"789","Loxl3"
"790","Lrp1"
"791","Lrp10"
"792","Lrp6"
"793","Lrpap1"
"794","Lrrc32"
"795","Lrrc41"
"796","Lrrfip1"
"797","Lsm14a"
"798","Lsm4"
"799","Lsm6"
"800","Lta4h"
"801","Ltbp2"
"802","Ltbp3"
"803","Ltbr"
"804","Lxn"
"805","Ly6a"
"806","Ly6e"
"807","Lyrm2"
"808","M6pr"
"809","Maea"
"810","Mak16"
"811","Malat1"
"812","Maml2"
"813","Man1a2"
"814","Man2a1"
"815","Man2b1"
"816","Manbal"
"817","Map1lc3a"
"818","Map2k2"
"819","Map2k3"
"820","Map2k4"
"821","Map4k4"
"822","Mapk1"
"823","Mapkapk2"
"824","Mapre1"
"825","Mapre2"
"826","Marcks"
"827","Mat2b"
"828","Mbd2"
"829","Mbnl2"
"830","Mcfd2"
"831","Mdh1"
"832","Me2"
"833","Mea1"
"834","Med15"
"835","Med21"
"836","Med28"
"837","Med4"
"838","Memo1"
"839","Mesdc2"
"840","Metap2"
"841","Metrnl"
"842","Mfap5"
"843","Mff"
"844","Mfge8"
"845","Mfsd1"
"846","Mfsd5"
"847","Mgat1"
"848","Mgrn1"
"849","Mical2"
"850","Mlec"
"851","Mmadhc"
"852","Mmp14"
"853","Mospd3"
"854","Mprip"
"855","Mpv17"
"856","Mpzl1"
"857","Mrfap1"
"858","Mrpl10"
"859","Mrpl11"
"860","Mrpl13"
"861","Mrpl14"
"862","Mrpl15"
"863","Mrpl17"
"864","Mrpl20"
"865","Mrpl28"
"866","Mrpl3"
"867","Mrpl32"
"868","Mrpl36"
"869","Mrpl37"
"870","Mrpl39"
"871","Mrpl4"
"872","Mrpl40"
"873","Mrpl41"
"874","Mrpl42"
"875","Mrpl43"
"876","Mrpl45"
"877","Mrpl46"
"878","Mrpl52"
"879","Mrpl54"
"880","Mrpl55"
"881","Mrps10"
"882","Mrps11"
"883","Mrps15"
"884","Mrps18a"
"885","Mrps18b"
"886","Mrps18c"
"887","Mrps22"
"888","Mrps23"
"889","Mrps24"
"890","Mrps25"
"891","Mrps28"
"892","Mrps30"
"893","Mrps33"
"894","Mt1"
"895","Mtap"
"896","Mthfd1"
"897","Mtpn"
"898","Mustn1"
"899","Mvp"
"900","Mxra8"
"901","Myh9"
"902","Myl9"
"903","Myo1c"
"904","Myof"
"905","N6amt2"
"906","Naa20"
"907","Naa50"
"908","Nacc2"
"909","Nans"
"910","Nap1l4"
"911","Napa"
"912","Nav2"
"913","Ncam1"
"914","Ncbp2"
"915","Ncl"
"916","Ncln"
"917","Ncs1"
"918","Ncstn"
"919","Ndel1"
"920","Ndfip2"
"921","Ndrg4"
"922","Ndufa10"
"923","Ndufa5"
"924","Ndufa8"
"925","Ndufaf2"
"926","Ndufaf4"
"927","Ndufb10"
"928","Ndufb2"
"929","Ndufb3"
"930","Ndufs1"
"931","Ndufs6"
"932","Ndufs8"
"933","Ndufv1"
"934","Ndufv2"
"935","Ndufv3"
"936","Neat1"
"937","Necap2"
"938","Nedd4"
"939","Nek7"
"940","Nemf"
"941","Nenf"
"942","Nf1"
"943","Nfe2l2"
"944","Nfic"
"945","Nfu1"
"946","Nhp2"
"947","Nip7"
"948","Nme1"
"949","Nmt1"
"950","Nnmt"
"951","Nol12"
"952","Nolc1"
"953","Nomo1"
"954","Nop16"
"955","Nop2"
"956","Nop56"
"957","Nop58"
"958","Npc2"
"959","Npdc1"
"960","Npepps"
"961","Npm1"
"962","Npm3"
"963","Nptn"
"964","Nqo1"
"965","Nr1h2"
"966","Nradd"
"967","Nras"
"968","Nrbp1"
"969","Nrp1"
"970","Nrp2"
"971","Nsd1"
"972","Nsun2"
"973","Nt5dc2"
"974","Ntan1"
"975","Nubp1"
"976","Nucb1"
"977","Nucb2"
"978","Nudc"
"979","Nudcd2"
"980","Nudt4"
"981","Nufip2"
"982","Nupr1"
"983","Nxn"
"984","Oaf"
"985","Oat"
"986","Ociad1"
"987","Ogdh"
"988","Orc4"
"989","Os9"
"990","Osbpl5"
"991","Ostc"
"992","Ostf1"
"993","Ostm1"
"994","Otub1"
"995","Oxct1"
"996","Oxr1"
"997","P2rx4"
"998","P4ha1"
"999","P4ha2"
"1000","Pa2g4"
"1001","Pabpc1"
"1002","Pafah1b1"
"1003","Pafah1b2"
"1004","Paics"
"1005","Paip1"
"1006","Pak1ip1"
"1007","Palld"
"1008","Papola"
"1009","Park7"
